,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
25,2020-01-01T08:40:02.000000000Z,0,2020-01-28T19:40:02.000000000Z,11,2020-02-04T19:40:02.000000000Z,2,2020-01-01T08:40:02.000000000Z,0,2020-01-03T12:20:03.000000000Z,4,2020-01-05T17:00:02.000000000Z,6,2020-01-01T08:30:02.000000000Z,0,2020-01-01T08:35:02.000000000Z,0,2020-01-01T08:40:02.000000000Z,0,2020-02-18T19:40:02.000000000Z
26,2020-01-01T08:45:02.000000000Z,0,2020-01-28T19:45:02.000000000Z,11,2020-02-04T19:45:02.000000000Z,2,2020-01-01T08:45:02.000000000Z,0,2020-01-03T12:25:02.000000000Z,4,2020-01-05T17:05:02.000000000Z,6,2020-01-01T08:35:02.000000000Z,0,2020-01-01T08:40:02.000000000Z,0,2020-01-01T08:45:02.000000000Z,0,2020-02-18T19:45:02.000000000Z
27,2020-01-01T08:50:02.000000000Z,0,2020-01-28T19:50:02.000000000Z,11,2020-02-04T19:50:02.000000000Z,2,2020-01-01T08:50:02.000000000Z,0,2020-01-03T12:30:02.000000000Z,4,2020-01-05T17:10:02.000000000Z,6,2020-01-01T08:40:02.000000000Z,0,2020-01-01T08:45:02.000000000Z,0,2020-01-01T08:50:02.000000000Z,0,2020-02-18T19:50:02.000000000Z
28,2020-01-01T08:55:02.000000000Z,0,2020-01-28T19:55:02.000000000Z,11,2020-02-04T19:55:02.000000000Z,2,2020-01-01T08:55:02.000000000Z,0,2020-01-03T12:35:02.000000000Z,4,2020-01-05T17:15:02.000000000Z,6,2020-01-01T08:45:02.000000000Z,0,2020-01-01T08:50:02.000000000Z,0,2020-01-01T08:55:02.000000000Z,0,2020-02-18T19:55:02.000000000Z
29,2020-01-01T09:00:02.000000000Z,0,2020-01-28T20:00:02.000000000Z,11,2020-02-04T20:00:02.000000000Z,2,2020-01-01T09:00:02.000000000Z,0,2020-01-03T12:40:02.000000000Z,4,2020-01-05T17:20:02.000000000Z,6,2020-01-01T08:50:02.000000000Z,0,2020-01-01T08:55:02.000000000Z,0,2020-01-01T09:00:02.000000000Z,0,2020-02-18T20:00:02.000000000Z
30,2020-01-01T09:05:02.000000000Z,0,2020-01-28T20:05:02.000000000Z,11,2020-02-04T20:05:02.000000000Z,2,2020-01-01T09:05:02.000000000Z,0,2020-01-03T12:45:02.000000000Z,4,2020-01-05T17:25:02.000000000Z,6,2020-01-01T08:55:02.000000000Z,0,2020-01-01T09:00:02.000000000Z,0,2020-01-01T09:05:02.000000000Z,0,2020-02-18T20:05:02.000000000Z
31,2020-01-01T09:10:01.000000000Z,0,2020-01-28T20:10:02.000000000Z,11,2020-02-04T20:10:02.000000000Z,2,2020-01-01T09:10:01.000000000Z,0,2020-01-03T12:50:02.000000000Z,4,2020-01-05T17:30:02.000000000Z,6,2020-01-01T09:00:02.000000000Z,0,2020-01-01T09:05:02.000000000Z,0,2020-01-01T09:10:01.000000000Z,0,2020-02-18T20:10:02.000000000Z
32,2020-01-01T09:15:02.000000000Z,0,2020-01-28T20:15:02.000000000Z,11,2020-02-04T20:15:02.000000000Z,2,2020-01-01T09:15:02.000000000Z,0,2020-01-03T12:55:02.000000000Z,4,2020-01-05T17:35:02.000000000Z,6,2020-01-01T09:05:02.000000000Z,0,2020-01-01T09:10:01.000000000Z,0,2020-01-01T09:15:02.000000000Z,0,2020-02-18T20:15:02.000000000Z
33,2020-01-01T09:20:02.000000000Z,0,2020-01-28T20:20:02.000000000Z,11,2020-02-04T20:20:02.000000000Z,2,2020-01-01T09:20:02.000000000Z,0,2020-01-03T13:00:02.000000000Z,4,2020-01-05T17:40:02.000000000Z,6,2020-01-01T09:10:01.000000000Z,0,2020-01-01T09:15:02.000000000Z,0,2020-01-01T09:20:02.000000000Z,0,2020-02-18T20:20:02.000000000Z
34,2020-01-01T09:25:02.000000000Z,0,2020-01-28T20:25:02.000000000Z,11,2020-02-04T20:25:02.000000000Z,2,2020-01-01T09:25:02.000000000Z,0,2020-01-03T13:05:02.000000000Z,4,2020-01-05T17:45:02.000000000Z,6,2020-01-01T09:15:02.000000000Z,0,2020-01-01T09:20:02.000000000Z,0,2020-01-01T09:25:02.000000000Z,0,2020-02-18T20:25:02.000000000Z
35,2020-01-01T09:30:02.000000000Z,0,2020-01-28T20:30:02.000000000Z,11,2020-02-04T20:30:02.000000000Z,2,2020-01-01T09:30:02.000000000Z,0,2020-01-03T13:10:02.000000000Z,4,2020-01-05T17:50:02.000000000Z,6,2020-01-01T09:20:02.000000000Z,0,2020-01-01T09:25:02.000000000Z,0,2020-01-01T09:30:02.000000000Z,0,2020-02-18T20:30:02.000000000Z
36,2020-01-01T09:35:02.000000000Z,0,2020-01-28T20:35:27.000000000Z,11,2020-02-04T20:35:02.000000000Z,2,2020-01-01T09:35:02.000000000Z,0,2020-01-03T13:15:02.000000000Z,4,2020-01-05T17:55:02.000000000Z,6,2020-01-01T09:25:02.000000000Z,0,2020-01-01T09:30:02.000000000Z,0,2020-01-01T09:35:02.000000000Z,0,2020-02-18T20:35:02.000000000Z
37,2020-01-01T09:40:02.000000000Z,0,2020-01-28T20:40:02.000000000Z,11,2020-02-04T20:40:02.000000000Z,2,2020-01-01T09:40:02.000000000Z,0,2020-01-03T13:20:02.000000000Z,4,2020-01-05T18:00:02.000000000Z,6,2020-01-01T09:30:02.000000000Z,0,2020-01-01T09:35:02.000000000Z,0,2020-01-01T09:40:02.000000000Z,0,2020-02-18T20:40:02.000000000Z
38,2020-01-01T09:45:02.000000000Z,0,2020-01-28T20:45:02.000000000Z,11,2020-02-04T20:45:02.000000000Z,2,2020-01-01T09:45:02.000000000Z,0,2020-01-03T13:25:02.000000000Z,4,2020-01-05T18:05:02.000000000Z,6,2020-01-01T09:35:02.000000000Z,0,2020-01-01T09:40:02.000000000Z,0,2020-01-01T09:45:02.000000000Z,0,2020-02-18T20:45:02.000000000Z
39,2020-01-01T09:50:02.000000000Z,0,2020-01-28T20:50:02.000000000Z,11,2020-02-04T20:50:02.000000000Z,2,2020-01-01T09:50:02.000000000Z,0,2020-01-03T13:30:02.000000000Z,4,2020-01-05T18:10:02.000000000Z,6,2020-01-01T09:40:02.000000000Z,0,2020-01-01T09:45:02.000000000Z,0,2020-01-01T09:50:02.000000000Z,0,2020-02-18T20:50:02.000000000Z
40,2020-01-01T09:55:02.000000000Z,0,2020-01-28T20:55:02.000000000Z,11,2020-02-04T20:55:02.000000000Z,2,2020-01-01T09:55:02.000000000Z,0,2020-01-03T13:35:02.000000000Z,4,2020-01-05T18:15:02.000000000Z,6,2020-01-01T09:45:02.000000000Z,0,2020-01-01T09:50:02.000000000Z,0,2020-01-01T09:55:02.000000000Z,0,2020-02-18T20:55:02.000000000Z
41,2020-01-01T10:00:02.000000000Z,0,2020-01-28T21:00:02.000000000Z,11,2020-02-04T21:00:02.000000000Z,2,2020-01-01T10:00:02.000000000Z,0,2020-01-03T13:40:02.000000000Z,4,2020-01-05T18:20:02.000000000Z,6,2020-01-01T09:50:02.000000000Z,0,2020-01-01T09:55:02.000000000Z,0,2020-01-01T10:00:02.000000000Z,0,2020-02-18T21:00:02.000000000Z
42,2020-01-01T10:05:02.000000000Z,0,2020-01-28T21:05:02.000000000Z,11,2020-02-04T21:05:02.000000000Z,2,2020-01-01T10:05:02.000000000Z,0,2020-01-03T13:45:02.000000000Z,4,2020-01-05T18:25:02.000000000Z,6,2020-01-01T09:55:02.000000000Z,0,2020-01-01T10:00:02.000000000Z,0,2020-01-01T10:05:02.000000000Z,0,2020-02-18T21:05:02.000000000Z
43,2020-01-01T10:10:02.000000000Z,0,2020-01-28T21:10:02.000000000Z,11,2020-02-04T21:10:02.000000000Z,2,2020-01-01T10:10:02.000000000Z,0,2020-01-03T13:50:02.000000000Z,4,2020-01-05T18:30:02.000000000Z,6,2020-01-01T10:00:02.000000000Z,0,2020-01-01T10:05:02.000000000Z,0,2020-01-01T10:10:02.000000000Z,0,2020-02-18T21:10:01.000000000Z
44,2020-01-01T10:15:02.000000000Z,0,2020-01-28T21:15:02.000000000Z,11,2020-02-04T21:15:02.000000000Z,2,2020-01-01T10:15:02.000000000Z,0,2020-01-03T13:55:02.000000000Z,4,2020-01-05T18:35:02.000000000Z,6,2020-01-01T10:05:02.000000000Z,0,2020-01-01T10:10:02.000000000Z,0,2020-01-01T10:15:02.000000000Z,0,2020-02-18T21:15:02.000000000Z
45,2020-01-01T10:20:02.000000000Z,0,2020-01-28T21:20:02.000000000Z,11,2020-02-04T21:20:02.000000000Z,2,2020-01-01T10:20:02.000000000Z,0,2020-01-03T14:00:02.000000000Z,4,2020-01-05T18:40:02.000000000Z,6,2020-01-01T10:10:02.000000000Z,0,2020-01-01T10:15:02.000000000Z,0,2020-01-01T10:20:02.000000000Z,0,2020-02-18T21:20:02.000000000Z
46,2020-01-01T10:25:02.000000000Z,0,2020-01-28T21:25:02.000000000Z,11,2020-02-04T21:25:02.000000000Z,2,2020-01-01T10:25:02.000000000Z,0,2020-01-03T14:05:02.000000000Z,4,2020-01-05T18:45:02.000000000Z,6,2020-01-01T10:15:02.000000000Z,0,2020-01-01T10:20:02.000000000Z,0,2020-01-01T10:25:02.000000000Z,0,2020-02-18T21:25:02.000000000Z
47,2020-01-01T10:30:02.000000000Z,0,2020-01-28T21:30:02.000000000Z,11,2020-02-04T21:30:02.000000000Z,2,2020-01-01T10:30:02.000000000Z,0,2020-01-03T14:10:03.000000000Z,4,2020-01-05T18:50:02.000000000Z,6,2020-01-01T10:20:02.000000000Z,0,2020-01-01T10:25:02.000000000Z,0,2020-01-01T10:30:02.000000000Z,0,2020-02-18T21:30:02.000000000Z
